year,2330,3443,2002,2317,3687,2731
2024,-,77.32,20.45,107.47,47.31,43.53
2023,133.38,72.24,20.23,107.72,48.85,40
2022,113.6,60.15,20.97,104.65,46.9,15.56
2021,83.62,39.28,22.88,99.59,23.64,19.39
2020,71.33,33.48,18.98,93.59,21.73,21.81
2019,62.53,32.18,19.58,89.46,20.15,29.81
2018,64.67,32.58,20.25,87.43,19.73,30.36
2017,58.7,30.2,19.67,62.57,23.15,31.79
2016,53.58,27.4,19.58,62.26,26.89,29.68
2015,47.11,26.32,19.04,64.44,35.09,31.47
2014,40.32,25.62,19.72,62.89,39.3,29.74
2013,32.69,25.28,19.11,58.25,51.65,28.6
2012,27.9,26.28,18.56,54.63,60.67,17.93
2011,24.29,24.79,19.51,54.06,40.71,14.49
2010,22.16,23.83,20.02,49.75,20.6,-
2009,19.11,21.05,18.93,51.28,25.08,
2008,18.59,21.16,19.55,48.72,,
2007,19.03,20.03,19.44,,,
2006,19.69,15.69,18.48,,,
2005,18.04,11.59,18.71,,,
2004,,-,18.7,,,
2003,,,16.95,,,
2002,,,14.49,,,
2001,,,13.9,,,
2000,,,15.31,,,
1999,,,14.8,,,
1998,,,16.21,,,
1997,,,15.44,,,
1996,,,15.23,,,
1995,,,15.14,,,
1994,,,14.36,,,
1993,,,14.24,,,
1992,,,14.44,,,
1991,,,14.67,,,
